"agency_cd"	"site_no"	"station_nm"	"site_tp_cd"	"lat_va"	"long_va"	"dec_lat_va"	"dec_long_va"	"coord_meth_cd"	"coord_acy_cd"	"coord_datum_cd"	"dec_coord_datum_cd"	"district_cd"	"state_cd"	"county_cd"	"country_cd"	"land_net_ds"	"map_nm"	"map_scale_fc"	"alt_va"	"alt_meth_cd"	"alt_acy_va"	"alt_datum_cd"	"huc_cd"	"basin_cd"	"topo_cd"	"instruments_cd"	"construction_dt"	"inventory_dt"	"drain_area_va"	"contrib_drain_area_va"	"tz_cd"	"local_time_fg"	"reliability_cd"	"gw_file_cd"	"nat_aqfr_cd"	"aqfr_cd"	"aqfr_type_cd"	"well_depth_va"	"hole_depth_va"	"depth_src_cd"	"project_no"	"coords.x1"	"coords.x2"	"optional"
"16"	"USGS"	"03307000"	"RUSSELL CREEK NEAR COLUMBIA, KY"	"ST"	370709	852338	37.1192281	-85.39385239	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"001"	"US"	NA	NA	NA	610.96	"M"	1	"NGVD29"	"05110001"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	188	173	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.39385239	37.1192281	TRUE
"17"	"USGS"	"03307500"	"SOUTH FORK LITTLE BARREN RIVER AT EDMONTON, KY"	"ST"	365827	853611	36.9742232	-85.6030237	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"169"	"US"	NA	NA	NA	742.83	"L"	0.01	"NGVD29"	"05110001"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	18.3	NA	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.6030237	36.9742232	TRUE
"18"	"USGS"	"03312500"	"BARREN RIVER NEAR PAGEVILLE, KY"	"ST"	365109	860437	36.85254816	-86.0769272	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"009"	"US"	NA	NA	NA	505.47	"L"	0.01	"NGVD29"	"05110002"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	531	514	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-86.0769272	36.85254816	TRUE
"19"	"USGS"	"03313500"	"WEST BAYS FORK AT SCOTTSVILLE, KY"	"ST"	364453	861147	36.7481001	-86.1963759	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"003"	"US"	NA	NA	NA	637.61	"L"	0.01	"NGVD29"	"05110002"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	7.47	NA	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-86.1963759	36.7481001	TRUE
"20"	"USGS"	"03314000"	"DRAKES CREEK NEAR ALVATON, KY"	"ST"	365343	862250	36.89531974	-86.380546	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"227"	"US"	NA	NA	NA	443.07	"M"	1	"NGVD29"	"05110002"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	478	358	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-86.380546	36.89531974	TRUE
"21"	"USGS"	"03314500"	"BARREN RIVER AT BOWLING GREEN, KY"	"ST"	370010	862558	37.0028201	-86.432768	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"227"	"US"	NA	NA	NA	409.83	"M"	1	"NGVD29"	"05110002"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	1849	1362	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-86.432768	37.0028201	TRUE
"22"	"USGS"	"03316000"	"MUD RIVER NEAR LEWISBURG, KY"	"ST"	370015	865426	37.0042112	-86.907219	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"141"	"US"	NA	NA	NA	409.05	"U"	0.01	"NGVD29"	"05110003"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	90.5	81.5	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-86.907219	37.0042112	TRUE
"23"	"USGS"	"03400500"	"POOR FORK AT CUMBERLAND, KY"	"ST"	365826	825935	36.97398059	-82.99294	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"095"	"US"	NA	NA	NA	1410.15	"M"	1	"NGVD29"	"05130103"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	82.3	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-82.99294	36.97398059	TRUE
"24"	"USGS"	"03401000"	"CUMBERLAND RIVER NEAR HARLAN, KY"	"ST"	365048	832121	36.84675484	-83.3557386	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"095"	"US"	NA	NA	NA	1140.1	"M"	1	"NGVD29"	"05130101"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	374	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-83.3557386	36.84675484	TRUE
"25"	"USGS"	"03402000"	"YELLOW CREEK NEAR MIDDLESBORO, KY"	"ST"	364005	834119	36.66813935	-83.6885271	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"013"	"US"	NA	NA	NA	1097.99	"M"	1	"NGVD29"	"05130101"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	60.6	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-83.6885271	36.66813935	TRUE
"26"	"USGS"	"03403000"	"CUMBERLAND RIVER NEAR PINEVILLE, KY"	"ST"	364848	834558	36.8134197	-83.7660306	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"013"	"US"	NA	NA	NA	955.45	"L"	0.01	"NGVD29"	"05130101"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	809	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-83.7660306	36.8134197	TRUE
"27"	"USGS"	"03403500"	"CUMBERLAND RIVER AT BARBOURVILLE, KY"	"ST"	365144	835315	36.8623097	-83.8874248	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"121"	"US"	NA	NA	NA	942.97	"M"	1	"NGVD29"	"05130101"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	960	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-83.8874248	36.8623097	TRUE
"28"	"USGS"	"03403910"	"CLEAR FORK AT SAXTON, KY"	"ST"	363802	840642	36.63397105	-84.1115969	"M"	"H"	"NAD27"	"NAD83"	"21"	"21"	"235"	"US"	NA	NA	NA	921.83	"A"	1	"NGVD29"	"05130101"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	331	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.1115969	36.63397105	TRUE
"29"	"USGS"	"03404000"	"CUMBERLAND RIVER AT WILLIAMSBURG, KY"	"ST"	364436	840922	36.743417	-84.1560449	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"235"	"US"	NA	NA	NA	891.52	"M"	1	"NGVD29"	"05130101"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	1607	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.1560449	36.743417	TRUE
"30"	"USGS"	"03404900"	"LYNN CAMP CREEK AT CORBIN, KY"	"ST"	365705	840537	36.9514765	-84.0935427	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"235"	"US"	NA	NA	NA	1049	"M"	1	"NGVD29"	"05130101"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	53.8	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.0935427	36.9514765	TRUE
"31"	"USGS"	"03405000"	"LAUREL RIVER AT CORBIN, KY"	"ST"	365809	840738	36.96925374	-84.1271545	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"235"	"US"	NA	NA	NA	956.05	"L"	0.01	"NGVD29"	"05130101"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	201	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.1271545	36.96925374	TRUE
"32"	"USGS"	"03406000"	"WOOD CREEK NEAR LONDON, KY"	"ST"	370940	840643	37.1611986	-84.1118763	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"125"	"US"	NA	NA	NA	1123.5	"L"	0.01	"NGVD29"	"05130101"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	3.89	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.1118763	37.1611986	TRUE
"33"	"USGS"	"03406500"	"ROCKCASTLE RIVER AT BILLOWS, KY"	"ST"	371016	841746	37.1711952	-84.296047	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"125"	"US"	NA	NA	NA	802.9	"M"	1	"NGVD29"	"05130102"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	604	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.296047	37.1711952	TRUE
"34"	"USGS"	"03407500"	"BUCK CREEK NEAR SHOPVILLE, KY"	"ST"	371238	842752	37.21063659	-84.4643845	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"199"	"US"	NA	NA	NA	831.59	"L"	0.01	"NGVD29"	"05130103"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	165	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.4643845	37.21063659	TRUE
"35"	"USGS"	"03408000"	"NEW RIVER NEAR NEW RIVER, TENN."	"ST"	362303	843143	36.38424495	-84.5285503	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"151"	"US"	NA	NA	NA	1095.84	"U"	0.1	"NGVD29"	"05130104"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	314	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.5285503	36.38424495	TRUE
"36"	"USGS"	"03408500"	"NEW RIVER AT NEW RIVER, TN"	"ST"	362307.58	843317.2	36.3855167	-84.5547174	"M"	"S"	"NAD27"	"NAD83"	"47"	"47"	"151"	"US"	NA	NA	NA	1092.43	"L"	0.1	"NGVD29"	"05130104"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	382	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.5547174	36.3855167	TRUE
"37"	"USGS"	"03409500"	"CLEAR FORK NEAR ROBBINS, TN"	"ST"	362317.56	843748.89	36.38828757	-84.6301881	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"151"	"US"	NA	NA	NA	1081.01	"D"	0.23	"NAVD88"	"05130104"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	272	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.6301881	36.38828757	TRUE
"38"	"USGS"	"03410210"	"SOUTH FK CUMBERLAND RIVER AT LEATHERWOOD FORD, TN"	"ST"	362838.3	844009.94	36.47738108	-84.6693676	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"151"	"US"	NA	NA	NA	862.1	"D"	0.25	"NAVD88"	"05130104"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	806	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.6693676	36.47738108	TRUE
"39"	"USGS"	"03410500"	"SOUTH FORK CUMBERLAND RIVER NEAR STEARNS, KY"	"ST"	363737	843200	36.62702209	-84.5332723	"M"	"F"	"NAD27"	"NAD83"	"21"	"21"	"147"	"US"	NA	NA	NA	764.81	"M"	1	"NGVD29"	"05130104"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	954	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.5332723	36.62702209	TRUE
"40"	"USGS"	"03411000"	"SOUTH FORK CUMBERLAND RIVER AT NEVELSVILLE, KY"	"ST"	365025	843500	36.84035447	-84.5832734	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"147"	"US"	NA	NA	NA	637.29	"L"	0.01	"NGVD29"	"05130103"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	1271	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.5832734	36.84035447	TRUE
"41"	"USGS"	"03411500"	"CUMBERLAND RIVER AT BURNSIDE, KY"	"ST"	365928	843711	36.99118799	-84.61966309	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"199"	"US"	NA	NA	NA	585.6	"L"	0.01	"NGVD29"	"05130103"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	4869	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.61966309	36.99118799	TRUE
"42"	"USGS"	"03412500"	"PITMAN CREEK AT SOMERSET, KY"	"ST"	370701	843531	37.1170226	-84.5918862	"M"	"U"	"NAD27"	"NAD83"	"21"	"21"	"199"	"US"	NA	NA	NA	867.34	"L"	0.01	"NGVD29"	"05130103"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	31.3	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.5918862	37.1170226	TRUE
"43"	"USGS"	"03413200"	"BEAVER CREEK NEAR MONTICELLO, KY"	"ST"	364751	845346	36.79757036	-84.89605849	"M"	"S"	"NAD27"	"NAD83"	"21"	"21"	"231"	"US"	NA	NA	NA	804.72	"M"	1	"NGVD29"	"05130103"	"43"	NA	"NNNNYNNNNNNNNYNNNNNNNNNNNNNNNN"	NA	"19880620"	43.4	NA	"EST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-84.89605849	36.79757036	TRUE
"44"	"USGS"	"03414500"	"EAST FORK OBEY RIVER NEAR JAMESTOWN, TN"	"ST"	362458	850135	36.41617895	-85.02634019	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"049"	"US"	NA	NA	NA	679.54	"D"	0.16	"NAVD88"	"05130105"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	202	196	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.02634019	36.41617895	TRUE
"45"	"USGS"	"03415000"	"WEST FORK OBEY RIVER NEAR ALPINE, TN"	"ST"	362350.36	851028.16	36.3973873	-85.1744486	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"133"	"US"	NA	NA	NA	680.66	"D"	0.78	"NAVD88"	"05130105"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	115	81	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.1744486	36.3973873	TRUE
"46"	"USGS"	"03415500"	"OBEY RIVER NEAR BYRDSTOWN, TENN."	"ST"	363206.43	850946.97	36.53518479	-85.1630034	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"137"	"US"	NA	NA	NA	577.08	"U"	0.1	"NGVD29"	"05130105"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	445	NA	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.1630034	36.53518479	TRUE
"47"	"USGS"	"03416000"	"WOLF RIVER NEAR BYRDSTOWN, TN"	"ST"	363337	850423	36.5603447	-85.0730073	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"137"	"US"	NA	NA	NA	707.54	"U"	0.1	"NGVD29"	"05130105"	NA	NA	"NNNNYNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	106	NA	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.0730073	36.5603447	TRUE
"48"	"USGS"	"03418000"	"ROARING RIVER NEAR HILHAM, TN"	"ST"	362027	852535	36.34089454	-85.4263596	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"133"	"US"	NA	NA	NA	NA	NA	NA	NA	"05130106"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	78.7	51.6	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.4263596	36.34089454	TRUE
"49"	"USGS"	"03418500"	"CANEY FORK AT CLIFTY, TN"	"ST"	355328	851305	35.8911776	-85.2180214	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"035"	"US"	NA	NA	NA	NA	NA	NA	NA	"05130108"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	111	NA	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.2180214	35.8911776	TRUE
"50"	"USGS"	"03420000"	"CALFKILLER RIVER BELOW SPARTA, TN"	"ST"	355431	852846	35.9086765	-85.4794203	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"185"	"US"	NA	NA	NA	812.04	"U"	0.1	"NGVD29"	"05130108"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	175	111	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.4794203	35.9086765	TRUE
"51"	"USGS"	"03420500"	"BARREN FORK NEAR TROUSDALE, TN"	"ST"	353955.3	855255.66	35.66543275	-85.8821124	"M"	"U"	"NAD27"	"NAD83"	"47"	"47"	"177"	"US"	NA	NA	NA	925.61	"U"	0.1	"NGVD29"	"05130107"	NA	NA	"NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN"	NA	NA	126	NA	"CST"	"Y"	NA	"NNNNNNNN"	NA	NA	NA	NA	NA	NA	NA	-85.8821124	35.66543275	TRUE
